year,region,value
2020,DE,648000
2030,DE,450000
2040,DE,105500
2050,DE,0
2020,DK,28000
2030,DK,24300
2040,DK,5400
2050,DK,0
2020,FR,281000
2030,FR,177300
2040,FR,39400
2050,FR,0
2020,NO,41000
2030,NO,15750
2040,NO,3500
2050,NO,0
2020,UK,326000
2030,UK,270900
2040,UK,60200
2050,UK,0
2020,ES,212000
2030,ES,126000
2040,ES,23000
2050,ES,0
